wl phi_t sgm_phi_t phi_s_c sgm_phi_s_c phi_s_a sgm_phi_s_a
592 0.0006 0.0001 -0.00005 0.00001 -0.00001 0.00001
594 0.0007 0.0001 -0.00005 0.00001 -0.00001 0.00001
596 0.0008 0.0001 -0.00005 0.00001 -0.00001 0.00001
598 0.0009 0.0001 -0.00004 0.00001 -0.00001 0.00001
600 0.0010 0.0001 -0.00003 0.00001 0.00000 0.00001
602 0.0010 0.0001 -0.00003 0.00001 0.00001 0.00001
604 0.0010 0.0001 -0.00002 0.00001 0.00002 0.00001
606 0.0010 0.0001 -0.00001 0.00001 0.00003 0.00001
608 0.0010 0.0001 0.00000 0.00001 0.00003 0.00001
610 0.0009 0.0001 0.00001 0.00001 0.00004 0.00001
612 0.0009 0.0001 0.00001 0.00001 0.00005 0.00001
614 0.0008 0.0001 0.00002 0.00001 0.00005 0.00001
616 0.0007 0.0001 0.00002 0.00001 0.00006 0.00001
618 0.0006 0.0001 0.00002 0.00001 0.00006 0.00001
620 0.0006 0.0001 0.00002 0.00001 0.00006 0.00001
622 0.0005 0.0001 0.00002 0.00001 0.00006 0.00001
624 0.0004 0.0001 0.00002 0.00001 0.00006 0.00001
626 0.0003 0.0001 0.00002 0.00001 0.00006 0.00001
628 0.0003 0.0001 0.00002 0.00001 0.00006 0.00001
630 0.0002 0.0001 0.00002 0.00001 0.00005 0.00001
632 0.0001 0.0001 0.00002 0.00001 0.00005 0.00001
634 0.0001 0.0001 0.00001 0.00001 0.00005 0.00001
636 0.0000 0.0001 0.00001 0.00001 0.00005 0.00001
638 0.0000 0.0001 0.00001 0.00001 0.00004 0.00001
640 0.0000 0.0001 0.00001 0.00001 0.00004 0.00001
642 0.0000 0.0001 0.00000 0.00001 0.00004 0.00001
644 0.0000 0.0001 0.00000 0.00001 0.00004 0.00001
646 0.0000 0.0001 0.00000 0.00001 0.00003 0.00001
648 0.0000 0.0001 -0.00001 0.00001 0.00003 0.00001
650 0.0000 0.0001 -0.00001 0.00001 0.00003 0.00001
652 0.0000 0.0001 -0.00001 0.00001 0.00002 0.00001
654 0.0001 0.0001 -0.00001 0.00001 0.00002 0.00001
656 0.0001 0.0001 -0.00002 0.00001 0.00002 0.00001
658 0.0001 0.0001 -0.00002 0.00001 0.00002 0.00001
660 0.0002 0.0001 -0.00002 0.00001 0.00002 0.00001
662 0.0002 0.0001 -0.00002 0.00001 0.00002 0.00001
664 0.0002 0.0001 -0.00002 0.00001 0.00002 0.00001
666 0.0001 0.0001 -0.00002 0.00001 0.00002 0.00001
668 0.0001 0.0001 -0.00002 0.00001 0.00001 0.00001
670 0.0001 0.0001 -0.00002 0.00001 0.00001 0.00001
672 0.0000 0.0001 -0.00002 0.00001 0.00001 0.00001
674 0.0000 0.0001 -0.00003 0.00001 0.00000 0.00001
676 -0.0001 0.0001 -0.00004 0.00001 0.00000 0.00001
678 -0.0001 0.0001 -0.00005 0.00001 -0.00001 0.00001
680 -0.0001 0.0001 -0.00006 0.00001 -0.00002 0.00001
682 -0.0001 0.0001 -0.00006 0.00001 -0.00003 0.00001
684 -0.0001 0.0001 -0.00008 0.00001 -0.00004 0.00001
686 -0.0001 0.0001 -0.00009 0.00001 -0.00006 0.00001
688 0.0000 0.0001 -0.00010 0.00001 -0.00007 0.00001
690 0.0000 0.0001 -0.00011 0.00001 -0.00008 0.00001
692 0.0001 0.0001 -0.00013 0.00001 -0.00009 0.00001
694 0.0002 0.0001 -0.00014 0.00001 -0.00011 0.00001
696 0.0003 0.0001 -0.00016 0.00001 -0.00012 0.00001
698 0.0005 0.0001 -0.00017 0.00001 -0.00014 0.00001
700 0.0007 0.0002 -0.00018 0.00001 -0.00015 0.00001
702 0.0009 0.0002 -0.00019 0.00001 -0.00016 0.00001
704 0.0013 0.0003 -0.00020 0.00001 -0.00017 0.00001
706 0.0017 0.0003 -0.00021 0.00001 -0.00018 0.00001
708 0.0021 0.0004 -0.00022 0.00001 -0.00019 0.00001
710 0.0026 0.0004 -0.00022 0.00001 -0.00020 0.00001
712 0.0032 0.0004 -0.00023 0.00001 -0.00020 0.00001
714 0.0038 0.0004 -0.00023 0.00001 -0.00020 0.00001
716 0.0045 0.0005 -0.00023 0.00001 -0.00021 0.00001
718 0.0054 0.0005 -0.00024 0.00001 -0.00021 0.00001
720 0.0063 0.0006 -0.00024 0.00001 -0.00021 0.00001
722 0.0073 0.0006 -0.00024 0.00001 -0.00021 0.00001
724 0.0083 0.0007 -0.00024 0.00001 -0.00021 0.00001
726 0.0094 0.0007 -0.00022 0.00001 -0.00020 0.00001
728 0.0104 0.0007 -0.00021 0.00001 -0.00017 0.00001
730 0.0113 0.0006 -0.00017 0.00001 -0.00013 0.00001
732 0.0121 0.0005 -0.00012 0.00001 -0.00008 0.00001
734 0.0128 0.0004 -0.00006 0.00001 -0.00001 0.00001
736 0.0133 0.0003 0.00002 0.00001 0.00007 0.00001
738 0.0136 0.0003 0.00012 0.00001 0.00016 0.00001
740 0.0136 0.0004 0.00022 0.00002 0.00026 0.00001
742 0.0133 0.0005 0.00031 0.00002 0.00037 0.00001
744 0.0129 0.0006 0.00041 0.00002 0.00046 0.00002
746 0.0124 0.0007 0.00049 0.00003 0.00054 0.00002
748 0.0116 0.0008 0.00056 0.00003 0.00061 0.00002
750 0.0107 0.0009 0.00062 0.00003 0.00067 0.00003
